loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,income,Credit_Score,co_applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
1,Sex Not Available,0,type3,p3,1,0,0,76500,360.0,0,0,0,108000.0,0,pr,0,2460.0,605,1,6,1,70.83333333,south,0,0,12.0
1,Male,0,type1,p4,1,0,0,556500,360.0,0,0,0,928000.0,0,sr,0,7200.0,729,0,3,0,59.96767241,south,0,0,43.0
1,Female,1,type2,p3,1,0,1,126500,180.0,0,0,0,148000.0,0,pr,0,2100.0,609,0,5,1,85.47297297,North,0,0,42.0
1,Male,0,type1,p3,1,0,0,246500,360.0,0,0,0,288000.0,0,pr,0,8220.0,600,0,3,0,85.59027778,central,0,1,41.0
1,Female,0,type1,p4,1,0,0,486500,360.0,0,0,0,828000.0,0,pr,0,8940.0,701,1,4,0,58.75603865,south,0,0,35.0
1,Sex Not Available,0,type1,p4,1,0,0,86500,360.0,0,0,0,418000.0,0,ir,0,3600.0,812,1,4,1,75.13586957,south,0,1,39.0
1,Male,0,type1,p4,1,0,0,256500,240.0,1,0,0,418000.0,0,pr,0,5520.0,555,1,3,1,75.13586957,North,0,1,39.0
1,Male,1,type1,p4,1,0,0,336500,360.0,0,0,0,418000.0,0,pr,0,4500.0,610,0,1,0,80.50239234,North,0,0,37.0
1,Female,0,type1,p3,1,0,0,206500,360.0,0,0,0,348000.0,0,pr,0,4740.0,562,0,3,1,59.33908046,south,0,0,37.0
1,Male,0,type2,p3,1,0,1,246500,360.0,0,0,0,298000.0,0,pr,0,5580.0,842,0,4,1,82.71812081,North,0,0,36.0
1,Male,0,type1,p4,1,0,0,246500,300.0,0,0,0,408000.0,0,pr,0,4320.0,604,1,4,1,60.41666667,North,0,0,47.0
1,Male,0,type2,p1,1,0,1,96500,360.0,0,0,0,128000.0,0,pr,0,3960.0,607,0,2,1,75.390625,North,0,0,46.0
1,Joint,0,type1,p1,1,0,0,486500,360.0,0,0,0,618000.0,0,pr,0,9240.0,803,1,3,0,78.72168285,south,0,0,36.0
1,Sex Not Available,0,type1,p3,1,0,0,436500,240.0,0,0,0,578000.0,0,pr,0,10500.0,856,1,4,1,75.51903114,south,0,0,35.0
1,Sex Not Available,1,type3,p3,1,0,0,306500,360.0,0,0,0,328000.0,0,pr,0,2940.0,785,0,5,1,93.44512195,south,0,0,61.0
1,Sex Not Available,0,type2,p3,1,0,1,186500,360.0,0,0,0,418000.0,0,pr,0,2100.0,845,1,3,1,75.13586957,south,0,1,39.0
1,Female,0,type1,p3,1,0,0,316500,360.0,0,0,0,428000.0,0,ir,0,6180.0,523,0,3,0,73.94859813,south,0,1,57.0
1,Female,0,type1,p3,1,0,0,56500,360.0,0,0,0,178000.0,0,pr,0,1440.0,657,0,5,1,31.74157303,North-East,0,1,60.0
1,Joint,0,type1,p3,1,0,0,206500,180.0,0,0,0,808000.0,0,pr,0,6600.0,623,1,4,0,25.55693069,North,0,0,41.0
1,Female,0,type1,p3,1,0,0,236500,360.0,0,0,0,298000.0,0,pr,0,2880.0,676,0,5,0,79.36241611,south,0,0,37.0
1,Female,0,type1,p1,1,0,0,116500,360.0,0,0,0,418000.0,0,pr,0,2580.0,536,1,5,1,75.13586957,North,0,1,39.0
1,Female,1,type2,p1,1,0,1,386500,360.0,0,0,0,388000.0,0,pr,0,4680.0,574,0,1,1,99.61340206,south,0,0,51.0
0,Sex Not Available,0,type1,p3,1,0,0,526500,360.0,0,0,0,688000.0,0,pr,0,7740.0,850,1,4,1,76.52616279,south,0,1,46.0
1,Sex Not Available,0,type1,p1,1,0,0,446500,360.0,0,0,0,488000.0,0,pr,0,5700.0,734,1,1,0,91.49590164,south,0,0,39.0
1,Male,0,type1,p4,1,0,0,306500,360.0,1,0,0,908000.0,0,ir,0,6780.0,505,1,3,0,33.75550661,North,0,0,41.0
1,Sex Not Available,0,type1,p4,1,0,0,326500,324.0,0,0,0,408000.0,0,pr,0,9240.0,662,0,5,1,80.0245098,south,0,0,35.0
1,Sex Not Available,1,type1,p3,1,0,0,406500,360.0,0,0,0,548000.0,0,pr,0,15120.0,900,0,4,1,74.17883212,south,0,0,29.0
1,Joint,0,type2,p1,1,0,1,266500,360.0,0,0,0,278000.0,0,pr,0,3960.0,508,1,1,0,95.86330935,North,0,0,46.0
1,Female,0,type1,p3,1,0,0,126500,180.0,0,1,0,238000.0,0,pr,0,5160.0,545,0,3,1,53.1512605,North-East,0,0,24.0
1,Female,0,type1,p3,1,0,0,166500,360.0,0,0,0,208000.0,0,pr,0,2580.0,823,0,3,1,80.04807692,North,0,0,40.0
1,Female,1,type1,p3,1,0,0,286500,360.0,0,0,0,508000.0,0,pr,0,4140.0,892,1,4,1,56.3976378,south,0,0,46.0
1,Sex Not Available,0,type2,p4,1,0,1,216500,360.0,0,0,0,228000.0,0,pr,0,5760.0,748,1,2,1,94.95614035,south,0,0,39.0
1,Sex Not Available,1,type1,p3,1,0,0,206500,360.0,0,0,0,258000.0,0,pr,0,10860.0,767,1,5,1,80.03875969,south,0,0,25.0
1,Joint,0,type1,p4,1,0,0,246500,360.0,0,0,0,268000.0,0,pr,0,7080.0,843,1,3,0,91.97761194,North,0,0,24.0
1,Male,0,type1,p3,1,0,0,696500,360.0,0,0,0,938000.0,0,ir,0,7980.0,618,0,2,1,74.25373134,North,0,0,36.0
1,Joint,0,type2,p3,0,0,1,116500,360.0,0,0,0,138000.0,0,pr,0,1800.0,783,1,5,1,84.42028986,North,0,0,45.0
1,Male,0,type3,p1,1,0,0,516500,324.0,1,0,0,528000.0,0,pr,0,6780.0,831,0,1,0,97.8219697,south,0,1,27.0
1,Joint,0,type1,p4,1,0,0,626500,360.0,0,1,0,1038000.0,0,pr,0,18180.0,888,1,2,0,60.35645472,North,0,0,29.0
1,Joint,0,type1,p3,1,0,0,456500,360.0,0,0,0,708000.0,0,pr,0,3840.0,626,1,3,0,64.47740113,south,0,1,44.0
1,Sex Not Available,0,type1,p4,0,0,0,106500,240.0,1,0,0,418000.0,0,pr,0,2640.0,866,1,5,1,75.13586957,south,0,1,39.0
1,Sex Not Available,0,type3,p4,1,0,0,166500,180.0,0,0,0,258000.0,0,pr,0,5760.0,850,1,3,1,64.53488372,south,0,0,39.0
1,Joint,1,type1,p3,1,0,0,106500,360.0,0,0,0,168000.0,0,pr,0,3240.0,814,1,5,1,63.39285714,south,0,0,31.0
1,Female,0,type1,p1,1,0,0,246500,360.0,1,0,0,288000.0,0,sr,0,6840.0,669,0,2,1,85.59027778,North,0,0,22.0
1,Sex Not Available,0,type1,p3,0,0,0,126500,180.0,0,0,0,648000.0,0,pr,0,5520.0,734,1,5,1,19.52160494,south,0,0,36.0
1,Female,0,type2,p3,1,0,1,86500,240.0,0,0,0,168000.0,0,pr,0,2040.0,738,0,3,1,51.48809524,North,0,0,58.0
1,Male,0,type2,p1,1,0,1,246500,360.0,0,0,0,258000.0,0,pr,0,2880.0,508,1,2,0,95.54263566,central,0,1,49.0
1,Male,0,type1,p3,1,0,0,396500,360.0,0,0,0,928000.0,0,pr,0,8040.0,807,0,6,1,42.7262931,south,0,0,22.0
1,Male,0,type1,p3,1,0,0,406500,360.0,0,0,0,378000.0,0,pr,0,10980.0,620,0,3,0,107.5396825,North,0,1,27.0
1,Joint,0,type1,p4,1,0,0,666500,360.0,0,0,0,808000.0,0,pr,0,6960.0,746,1,2,0,82.48762376,south,0,0,41.0
1,Male,0,type1,p3,1,0,0,636500,360.0,0,1,0,868000.0,0,pr,0,7620.0,706,0,4,1,73.32949309,North,0,1,49.0
1,Sex Not Available,1,type1,p3,1,0,0,486500,360.0,0,0,0,678000.0,0,pr,0,10980.0,722,0,3,1,71.75516224,south,0,1,30.0
0,Sex Not Available,1,type1,p3,1,0,0,596500,180.0,0,0,0,1058000.0,0,pr,0,21600.0,727,0,4,1,56.37996219,south,0,0,42.0
1,Sex Not Available,0,type3,p4,1,0,0,256500,360.0,0,0,0,308000.0,0,pr,0,5760.0,757,1,4,0,83.27922078,south,0,0,39.0
1,Sex Not Available,0,type1,p4,1,0,0,366500,324.0,0,0,0,458000.0,0,pr,0,8280.0,566,1,2,1,80.02183406,south,0,0,42.0
1,Sex Not Available,0,type2,p4,1,0,1,196500,360.0,0,0,0,198000.0,0,pr,0,4020.0,720,0,3,1,99.24242424,south,0,1,31.0
1,Male,0,type1,p3,1,0,0,306500,360.0,0,0,0,428000.0,0,pr,0,4320.0,549,0,4,1,71.61214953,North,0,0,45.0
1,Joint,0,type1,p2,0,0,0,106500,360.0,0,0,0,1108000.0,0,pr,0,11520.0,635,1,3,1,9.611913357,central,0,0,26.0
1,Joint,0,type1,p1,1,0,0,236500,360.0,0,0,0,298000.0,0,pr,0,3660.0,900,1,5,0,79.36241611,North,0,0,37.0
1,Sex Not Available,0,type3,p3,1,0,0,186500,360.0,0,0,0,208000.0,0,pr,0,2520.0,885,0,2,1,89.66346154,south,0,0,31.0
1,Female,0,type1,p1,1,0,0,86500,360.0,1,0,0,118000.0,0,pr,0,3660.0,643,0,4,1,73.30508475,central,0,0,25.0
1,Joint,0,type2,p3,1,0,1,266500,360.0,0,0,0,318000.0,0,pr,0,5520.0,746,1,2,1,83.80503145,North,0,0,30.0
1,Male,0,type3,p1,1,0,0,286500,360.0,0,0,0,288000.0,0,pr,0,7080.0,644,0,2,1,99.47916667,south,0,0,44.0
1,Joint,0,type1,p1,1,0,0,336500,360.0,0,0,0,358000.0,0,pr,0,4260.0,821,1,3,1,93.99441341,central,0,1,7.0
1,Sex Not Available,0,type1,p4,1,0,0,156500,324.0,0,0,0,458000.0,0,pr,0,2280.0,682,0,1,1,34.17030568,south,0,0,32.0
1,Sex Not Available,0,type3,p1,1,0,0,116500,360.0,0,0,0,138000.0,0,pr,0,8460.0,684,0,4,1,84.42028986,south,0,0,15.0
1,Female,0,type1,p4,1,0,0,346500,360.0,0,0,0,608000.0,0,pr,0,9120.0,644,0,4,1,56.99013158,North,0,0,21.0
1,Joint,0,type1,p3,1,0,0,246500,240.0,0,0,0,418000.0,0,pr,0,7260.0,674,1,3,0,58.97129187,North,0,0,39.0
1,Male,0,type1,p1,0,0,0,116500,360.0,0,0,0,168000.0,0,pr,0,1560.0,884,0,0,1,69.3452381,North,0,0,38.0
1,Female,0,type1,p1,1,0,0,226500,360.0,0,0,0,238000.0,0,pr,0,2460.0,765,0,4,1,95.16806723,North,0,1,60.0
1,Male,0,type1,p4,1,0,0,166500,360.0,0,1,0,318000.0,0,pr,0,3120.0,786,0,1,1,52.35849057,North,0,0,49.0
1,Male,0,type1,p3,1,0,0,486500,360.0,0,0,0,608000.0,0,pr,0,6000.0,614,0,2,1,80.01644737,south,0,0,42.0
1,Male,1,type1,p1,1,0,0,476500,360.0,0,0,0,628000.0,0,pr,0,13860.0,598,1,2,0,75.87579618,south,0,0,32.0
1,Joint,0,type3,p1,1,0,0,146500,360.0,1,1,0,148000.0,0,pr,0,4500.0,765,1,2,1,98.98648649,North-East,0,0,39.0
1,Sex Not Available,0,type1,p2,1,0,0,406500,180.0,0,0,0,418000.0,0,pr,0,17760.0,753,1,1,1,75.13586957,south,0,1,39.0
1,Female,1,type1,p4,1,0,0,176500,180.0,0,0,0,418000.0,0,pr,0,7200.0,809,1,5,1,75.13586957,North,0,1,39.0
1,Joint,0,type1,p3,1,0,0,326500,180.0,0,0,0,608000.0,0,pr,0,8820.0,618,1,3,1,53.70065789,south,0,0,36.0
1,Joint,0,type1,p4,1,0,0,306500,360.0,0,0,0,1008000.0,0,ir,0,16500.0,844,1,4,0,30.40674603,south,0,1,35.0
1,Joint,0,type1,p3,1,0,0,106500,360.0,0,0,0,418000.0,0,pr,0,2880.0,789,1,3,1,75.13586957,south,0,1,39.0
1,Joint,0,type1,p1,1,0,0,326500,360.0,0,0,0,338000.0,0,pr,0,7560.0,814,1,2,0,96.59763314,North,0,0,35.0
1,Male,0,type1,p1,1,0,0,226500,360.0,0,0,0,418000.0,0,sr,0,16260.0,708,1,3,1,75.13586957,North,0,1,39.0
0,Sex Not Available,0,type1,p1,1,0,0,106500,324.0,1,0,0,128000.0,0,pr,0,5760.0,501,1,3,1,83.203125,south,0,1,39.0
1,Female,0,type1,p1,1,0,0,366500,360.0,0,1,0,468000.0,0,pr,0,4560.0,585,0,3,0,78.31196581,North-East,0,0,41.0
1,Joint,0,type1,p4,1,0,0,536500,360.0,0,0,0,898000.0,0,pr,0,8820.0,689,1,1,0,59.74387528,south,0,0,48.0
1,Joint,0,type1,p3,1,0,0,256500,360.0,0,0,0,418000.0,0,pr,0,4920.0,842,1,5,1,75.13586957,North,0,1,39.0
1,Joint,0,type1,p4,1,0,0,486500,360.0,0,1,0,658000.0,0,pr,0,6720.0,808,1,3,0,73.93617021,south,0,0,44.0
1,Sex Not Available,0,type1,p3,1,0,0,456500,360.0,0,0,0,638000.0,0,pr,0,6960.0,818,1,4,0,71.55172414,North,0,0,33.0
1,Joint,0,type1,p3,1,0,0,486500,360.0,0,0,0,728000.0,0,pr,0,9060.0,704,1,3,1,66.82692308,central,0,0,35.0
1,Joint,0,type1,p3,1,0,0,576500,360.0,0,0,1,718000.0,0,pr,0,13380.0,694,1,4,0,80.29247911,North,0,0,24.0
1,Sex Not Available,0,type1,p3,1,0,0,306500,360.0,1,0,0,418000.0,0,pr,0,5640.0,614,0,4,1,73.32535885,south,0,0,36.0
1,Sex Not Available,0,type1,p3,1,0,0,296500,360.0,0,0,0,408000.0,0,pr,0,7320.0,840,1,4,1,72.67156863,south,0,0,38.0
1,Sex Not Available,0,type3,p4,1,0,0,336500,360.0,0,0,0,418000.0,0,pr,0,5760.0,793,1,5,1,80.50239234,south,0,0,39.0
1,Sex Not Available,0,type1,p1,1,0,0,476500,360.0,0,0,0,528000.0,0,pr,0,7620.0,649,0,2,1,90.24621212,south,0,0,35.0
1,Male,1,type1,p1,1,0,0,126500,360.0,0,0,0,158000.0,0,pr,0,2100.0,883,0,3,1,80.06329114,south,0,0,45.0
1,Joint,0,type1,p4,1,0,0,596500,360.0,0,0,0,798000.0,0,pr,0,9660.0,577,1,4,0,74.74937343,North,0,0,41.0
1,Sex Not Available,0,type1,p3,1,0,0,426500,180.0,0,0,0,608000.0,0,pr,0,11340.0,690,0,2,1,70.14802632,south,0,0,27.0
1,Female,0,type1,p3,1,0,0,286500,360.0,0,0,0,358000.0,0,pr,0,4200.0,740,0,4,1,80.02793296,North,0,0,49.0
1,Female,0,type2,p3,1,0,1,276500,180.0,0,0,0,318000.0,0,pr,0,11340.0,766,0,3,1,86.94968553,North,0,0,37.0
1,Female,0,type1,p3,1,0,0,286500,360.0,0,0,0,408000.0,0,sr,0,5700.0,636,0,4,0,70.22058824,North,0,1,47.0
1,Sex Not Available,0,type1,p3,1,0,0,276500,360.0,0,0,0,368000.0,0,pr,0,6120.0,802,0,2,1,75.13586957,south,0,0,42.0
1,Sex Not Available,0,type1,p1,1,0,0,466500,360.0,0,0,0,938000.0,0,pr,0,5340.0,775,0,4,1,49.73347548,south,0,1,46.0
1,Male,0,type1,p1,1,0,0,126500,180.0,0,0,0,418000.0,0,pr,0,3720.0,602,1,5,1,75.13586957,south,0,1,39.0
1,Female,0,type1,p4,1,0,0,126500,324.0,0,0,0,188000.0,0,pr,0,2760.0,837,0,3,1,67.28723404,North,0,0,39.0
1,Sex Not Available,1,type1,p4,1,0,0,536500,360.0,0,0,0,768000.0,0,pr,0,10560.0,537,0,2,1,69.85677083,south,0,0,23.0
1,Sex Not Available,0,type1,p3,1,0,0,206500,180.0,0,0,0,338000.0,0,pr,0,6660.0,640,1,4,1,61.09467456,south,0,0,37.0
1,Female,0,type1,p3,1,0,0,126500,360.0,1,0,0,168000.0,0,pr,0,2280.0,663,0,5,1,75.29761905,North,0,1,31.0
1,Joint,0,type1,p4,1,0,0,366500,360.0,0,0,0,488000.0,0,pr,0,6360.0,897,1,5,0,75.10245902,south,0,0,42.0
1,Male,0,type1,p2,1,0,0,86500,360.0,0,0,0,468000.0,0,pr,0,2100.0,887,0,3,1,18.48290598,south,0,0,38.0
1,Sex Not Available,0,type1,p3,0,0,0,206500,108.0,0,0,0,558000.0,0,pr,0,4620.0,610,1,5,1,37.00716846,south,0,0,42.0
1,Male,0,type1,p3,1,0,0,126500,360.0,1,0,0,158000.0,0,pr,0,3120.0,787,0,2,1,80.06329114,North,0,0,42.0
1,Joint,0,type2,p3,1,0,1,346500,360.0,0,0,0,398000.0,0,pr,0,4680.0,798,1,5,1,87.06030151,North,0,0,52.0
1,Female,0,type1,p4,1,0,0,196500,360.0,0,0,0,258000.0,0,pr,0,2880.0,662,0,1,1,76.1627907,North,0,1,44.0
1,Sex Not Available,1,type1,p4,1,0,0,326500,360.0,0,0,0,2308000.0,0,pr,0,5100.0,747,0,5,1,14.14644714,south,0,0,31.0
1,Sex Not Available,0,type1,p3,1,0,0,266500,360.0,0,0,0,318000.0,0,pr,0,3840.0,593,0,3,1,83.80503145,south,0,1,34.0
1,Joint,0,type1,p4,1,0,0,586500,240.0,0,0,0,838000.0,0,pr,0,18240.0,659,1,3,0,69.98806683,central,0,0,25.0
1,Male,0,type1,p1,0,0,0,146500,300.0,1,0,0,158000.0,0,pr,0,0.0,720,0,1,0,92.72151899,south,0,1,18.0
1,Male,1,type2,p3,1,0,1,206500,360.0,0,0,0,248000.0,0,pr,0,5160.0,841,0,1,1,83.26612903,North,0,1,38.0
1,Joint,0,type1,p4,1,0,0,286500,360.0,0,0,0,418000.0,0,pr,0,2700.0,525,1,2,1,68.54066986,south,0,0,45.0
1,Male,1,type1,p1,1,0,0,256500,180.0,0,0,0,438000.0,0,sr,0,25200.0,876,0,4,1,58.56164384,North,0,0,15.0
1,Joint,0,type1,p3,1,0,0,416500,360.0,0,0,0,608000.0,0,pr,0,8280.0,589,1,3,0,68.50328947,North,0,0,28.0
1,Joint,0,type1,p3,1,0,0,116500,360.0,0,0,0,418000.0,0,pr,0,2820.0,712,1,6,1,75.13586957,south,0,1,39.0
1,Joint,0,type1,p4,1,0,0,476500,360.0,0,0,0,518000.0,0,pr,0,6960.0,520,1,1,0,91.98841699,North,0,0,33.0
1,Joint,0,type3,p4,1,0,0,596500,360.0,0,0,0,648000.0,0,pr,0,5760.0,671,1,2,0,92.05246914,North,0,0,39.0
1,Female,0,type2,p1,1,0,1,666500,360.0,0,0,0,678000.0,0,pr,0,6180.0,566,0,3,0,98.30383481,North,0,1,51.0
1,Male,0,type1,p1,1,0,0,206500,360.0,0,0,0,208000.0,0,pr,0,2940.0,615,0,5,0,99.27884615,south,0,0,37.0
1,Joint,0,type1,p3,1,0,0,486500,360.0,0,0,0,608000.0,0,pr,0,11880.0,777,1,2,0,80.01644737,North,0,1,5.0
1,Sex Not Available,0,type3,p3,1,0,0,186500,360.0,0,0,0,248000.0,0,pr,0,3420.0,810,0,1,1,75.2016129,south,0,0,30.0
1,Female,1,type1,p1,1,0,0,586500,360.0,0,0,0,728000.0,0,pr,0,8580.0,823,0,3,0,80.56318681,North,0,0,48.0
